0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170
752,23,24,34,37,55,87,67,58,89,80,118,121,128,149,145,165,151
773,25,23,28,42,47,57,81,77,94,99,107,119,130,138,179,163,159
781,27,24,16,39,59,70,68,68,88,96,139,112,143,167,150,160,153
740,23,24,30,43,49,59,68,79,89,97,106,119,129,148,148,159,154
765,21,35,29,37,50,60,67,115,108,112,107,143,133,140,146,163,169
740,6,4,8,63,49,59,70,79,89,97,114,102,129,136,150,140,154
742,21,24,55,39,51,59,69,79,95,101,108,117,130,159,150,155,157
792,21,21,44,39,48,40,68,95,87,107,107,119,147,149,148,159,155
751,47,22,30,20,47,60,127,79,90,99,96,104,127,138,153,157,152
744,54,26,16,41,85,95,71,79,87,96,108,151,140,139,148,158,160
500,27,22,30,40,47,57,69,76,88,109,127,118,127,138,149,170,152
392,23,31,33,36,55,59,69,60,118,99,115,104,128,139,183,160,152
429,8,23,30,70,28,48,68,77,87,98,111,121,141,151,149,162,138
554,23,22,63,37,51,60,67,91,89,96,108,116,128,135,148,160,154
602,23,4,28,39,47,58,68,107,88,99,113,128,130,138,149,159,166
678,21,23,29,44,48,59,76,79,94,98,127,118,155,140,147,152,136
690,31,8,12,39,54,77,68,79,88,97,107,119,129,136,140,157,157
748,24,23,28,37,49,59,74,88,88,105,109,130,147,163,147,163,152
728,21,15,28,40,52,71,70,79,93,106,107,118,159,142,147,168,164
729,22,23,28,21,48,40,69,78,90,98,107,149,132,138,160,157,155
730,22,25,37,39,63,60,68,86,80,127,117,118,130,138,148,156,153
737,26,21,29,39,46,56,48,82,87,99,109,121,159,143,154,175,171
749,23,22,30,49,49,59,71,77,97,99,104,119,143,146,160,161,154
737,35,21,36,43,50,61,68,77,87,107,104,127,128,138,150,159,153
464,23,21,30,36,48,57,48,95,74,99,109,127,128,142,148,189,162
354,23,8,32,37,47,56,67,77,89,104,98,118,128,136,157,141,152
461,0,21,28,41,47,67,98,77,88,97,111,123,128,122,155,157,158
536,23,35,61,38,50,71,66,64,88,102,110,112,167,131,148,169,153
538,27,23,28,16,50,58,78,82,89,96,106,117,129,136,163,158,155
685,21,30,31,63,63,63,68,83,89,96,109,125,131,138,136,158,137
751,5,23,47,63,51,62,68,78,89,97,107,117,135,128,147,140,159
721,21,25,29,38,53,61,68,110,50,98,107,117,130,137,147,156,158
738,25,28,28,42,48,58,69,83,87,99,110,105,163,130,149,156,153
783,21,22,16,41,49,71,52,81,119,99,104,119,133,139,150,156,157
734,53,21,40,39,47,57,68,88,87,127,120,122,129,139,168,157,136
781,24,21,30,38,48,65,95,78,89,99,143,121,128,128,149,168,151
784,23,25,59,47,54,64,69,77,88,80,109,119,130,139,155,161,154
748,0,22,59,18,48,59,71,77,87,99,121,96,128,139,181,161,151
741,22,27,33,37,63,77,64,90,115,97,104,118,128,122,147,144,153
748,39,39,28,47,48,57,68,77,90,97,109,117,131,138,146,159,172
784,23,24,10,38,49,69,68,109,103,97,147,118,128,120,157,170,154
747,34,24,29,41,49,59,67,85,101,80,107,119,112,148,154,141,144
755,24,23,28,38,51,59,96,81,90,98,107,104,139,143,146,163,155
743,23,26,28,45,63,40,67,79,89,127,127,112,129,137,153,156,154
741,22,23,33,39,50,60,69,72,72,100,107,123,136,138,136,156,137
756,22,23,55,40,48,59,49,80,88,98,113,119,130,140,148,155,154
753,16,31,30,39,46,59,75,79,87,80,115,102,129,138,159,154,157
744,24,51,37,40,56,79,68,91,96,101,108,119,147,159,148,187,165
750,32,21,30,48,47,57,68,81,94,98,96,118,56,138,149,154,155
737,25,16,31,32,53,57,74,84,93,99,139,105,41,139,144,155,137
784,29,23,29,37,78,65,67,77,88,127,117,119,112,143,148,148,175
745,23,22,34,37,49,59,66,89,96,97,109,117,129,135,150,154,157
738,23,22,28,39,47,57,74,78,90,99,109,100,143,141,147,158,153
748,21,37,29,37,32,59,74,78,89,127,108,118,112,167,147,159,187
754,22,25,63,39,48,48,67,78,89,98,107,120,133,137,130,156,138
776,28,24,29,36,49,59,77,81,93,96,111,143,129,120,149,138,154
743,22,32,28,44,56,71,73,79,72,109,107,118,129,150,147,159,165
752,28,24,28,48,54,79,71,78,89,99,108,128,159,139,148,156,156
751,21,25,35,39,79,60,69,127,127,99,96,151,129,138,151,156,155
743,29,21,31,39,46,57,87,79,87,96,115,122,142,149,156,159,154
762,23,27,31,39,56,56,70,77,89,99,127,118,129,121,144,166,167
742,23,21,44,43,47,59,69,77,72,98,113,151,128,138,154,144,155
749,29,21,31,37,47,58,48,79,89,99,110,128,143,138,149,162,155
749,24,4,39,44,47,56,70,77,88,125,108,118,128,139,136,155,167
743,24,23,16,37,50,63,95,77,89,96,113,149,129,137,149,144,184
747,24,51,35,38,49,67,67,86,128,97,127,117,158,144,146,164,170
747,0,23,28,44,49,58,102,77,89,127,107,117,131,138,151,157,172
746,23,31,29,39,95,74,67,98,91,98,111,136,159,141,148,160,160
755,47,23,37,69,49,61,68,78,96,99,107,118,159,140,147,155,169
743,0,24,30,39,48,61,80,83,92,96,106,119,131,137,173,155,167
748,27,26,16,63,48,59,70,78,86,102,115,125,129,138,148,168,152
763,21,23,32,38,52,63,74,76,87,96,107,119,159,141,151,155,157
742,24,4,47,40,47,56,69,79,91,98,96,119,143,141,167,158,151
783,51,21,30,32,47,57,73,76,88,127,109,119,128,138,149,183,167
747,24,27,35,41,64,72,69,64,97,99,109,122,159,140,156,157,152
748,23,22,35,16,47,58,73,77,114,102,127,118,128,144,163,140,166
740,22,27,31,37,75,87,93,106,88,96,111,123,128,138,148,188,191
779,28,28,30,63,28,56,68,77,89,98,111,129,159,141,147,161,168
792,21,25,36,37,53,63,67,88,96,97,108,117,129,137,175,156,169
749,51,23,28,39,49,59,64,80,91,98,108,121,132,128,160,157,185
787,31,24,28,42,49,60,48,79,88,108,107,118,133,150,147,140,151
747,23,24,28,41,54,58,67,78,88,97,96,112,130,137,177,152,171
743,22,22,31,39,49,62,95,78,95,96,111,135,162,128,147,159,175
796,16,26,33,35,48,59,77,64,99,99,107,119,133,140,148,154,170
742,20,28,29,43,54,59,73,79,87,101,107,104,132,140,162,156,179
753,23,29,47,39,63,71,68,91,102,99,123,120,128,137,148,170,171
784,24,21,30,55,47,57,49,77,87,100,109,120,131,139,152,157,167
747,47,23,31,48,51,57,70,80,88,108,96,143,127,138,149,164,167
784,39,24,30,37,50,57,70,72,87,99,110,119,126,122,149,158,169
777,23,22,33,38,49,59,64,79,89,127,108,118,131,139,146,157,167
738,23,24,8,38,47,57,71,78,72,97,112,128,128,151,151,165,144
746,21,47,28,39,63,59,79,77,88,96,109,117,130,148,150,156,171
747,22,28,55,37,48,56,67,96,117,106,110,148,165,141,147,159,168
774,22,23,29,32,48,60,83,80,89,97,90,135,129,136,125,151,166
743,39,16,31,69,48,69,68,88,91,111,110,119,112,150,133,155,169
751,28,25,28,55,51,59,70,64,88,106,88,118,129,137,150,152,168
745,21,27,33,39,58,69,69,87,89,102,106,151,129,139,153,165,181
742,16,21,30,32,49,57,72,79,87,98,110,119,145,141,149,159,167
753,23,53,27,40,79,71,68,76,80,82,108,119,127,140,150,157,167
752,25,22,16,41,47,57,69,85,68,100,108,151,128,140,165,187,207
