0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170
6,533,512,396,309,242,202,172,145,143,116,112,96,95,78,79,38,70
23,556,513,395,343,240,197,171,179,175,150,117,101,106,81,96,50,65
3,543,506,393,319,240,204,171,148,140,123,108,103,104,82,111,67,67
3,523,513,390,288,240,203,172,138,120,127,109,98,92,87,72,71,67
6,522,506,394,289,243,231,173,136,128,122,114,95,116,84,83,71,73
4,533,518,394,292,243,206,176,132,118,143,104,122,79,80,95,74,85
3,525,514,412,302,245,247,180,147,138,124,115,98,86,97,75,64,60
3,554,516,393,302,242,205,197,132,128,131,127,107,111,84,64,71,69
3,519,516,421,298,243,223,176,147,128,124,119,100,88,87,69,70,63
7,520,544,390,299,243,192,176,138,145,127,92,104,72,97,53,80,55
23,523,533,392,298,247,196,152,153,122,130,106,102,109,64,87,71,65
0,520,506,391,303,250,196,160,152,135,100,106,109,72,79,50,81,62
3,526,512,412,302,267,197,171,151,133,124,112,101,104,86,99,59,66
3,526,511,401,302,255,196,175,146,132,112,104,103,72,77,107,58,66
3,531,515,419,303,248,204,169,146,135,123,116,127,79,80,74,75,63
3,519,506,409,300,228,199,172,149,137,130,111,100,92,78,123,66,72
6,531,506,400,299,240,186,169,149,134,128,107,100,91,82,111,42,95
5,523,506,390,299,244,198,174,148,135,106,115,96,92,84,69,71,68
15,552,512,395,303,243,192,170,147,139,120,111,90,95,101,64,69,62
4,542,512,394,303,245,197,177,146,139,119,108,98,87,86,75,65,86
0,529,513,393,309,239,192,170,149,145,129,113,100,74,88,66,70,50
3,519,520,390,303,240,200,195,146,149,110,111,100,86,111,78,69,82
2,527,510,390,301,240,200,170,156,159,134,114,101,127,69,54,71,52
5,519,508,390,319,244,200,195,173,142,118,110,102,72,104,63,111,43
4,555,513,394,306,243,198,172,154,129,126,115,101,90,82,51,90,65
7,525,516,396,293,270,199,191,149,128,124,108,99,91,64,95,100,76
5,546,534,395,311,240,199,174,144,138,125,133,105,82,82,83,67,45
7,530,539,398,299,265,203,173,144,136,129,127,92,97,82,52,32,70
0,521,557,393,315,240,207,173,150,139,124,127,139,89,75,80,67,42
2,525,506,394,298,269,223,184,153,134,115,88,99,96,91,66,79,79
7,525,506,393,324,245,208,179,151,137,132,116,108,91,79,79,75,63
2,530,511,404,302,267,204,179,146,134,116,110,111,88,101,100,50,66
0,526,514,404,302,245,184,178,148,144,126,116,104,91,63,76,95,62
3,555,511,420,302,263,192,156,146,136,115,112,80,95,99,81,35,65
3,520,506,405,299,246,199,160,151,140,124,90,96,109,77,127,76,63
7,521,506,384,298,279,199,160,149,142,127,112,88,76,81,62,98,65
7,521,506,388,289,259,199,173,151,153,135,104,103,95,92,77,47,69
16,528,511,414,302,243,199,172,146,142,128,107,95,91,79,79,80,72
3,526,512,394,294,240,197,172,147,143,113,112,95,79,76,80,65,64
0,531,514,389,303,240,199,172,146,137,122,108,102,90,99,72,67,73
3,519,513,389,300,239,199,170,169,149,147,107,100,88,53,77,63,54
3,520,512,384,299,240,202,169,153,139,130,111,103,93,127,71,89,63
5,520,510,390,303,243,199,169,159,114,139,107,101,99,95,73,63,62
5,526,518,388,302,243,202,173,155,151,123,113,100,111,64,95,64,63
