0,297,297,297,303,301,288,298,297,297,301,297,297,315,298,319
10,420,401,397,397,398,396,397,392,397,415,397,423,396,397,397
20,231,231,230,255,230,220,231,230,232,230,255,231,224,230,230
30,168,168,171,167,191,168,174,168,168,168,168,168,168,171,168
40,133,132,112,133,133,133,132,129,128,134,133,132,133,153,132
50,109,114,109,127,108,110,109,92,109,109,109,109,109,109,110
60,97,93,93,94,93,115,93,76,93,93,93,93,115,93,76
70,85,80,85,85,85,85,72,86,85,86,85,68,85,85,89
80,86,77,92,85,81,86,85,87,76,85,83,81,56,90,81
90,64,89,73,90,93,114,81,73,85,93,93,85,93,93,95
100,81,93,72,87,86,104,90,93,93,94,91,85,76,85,81
